id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1384088903049568261,1384088903049568261,2021-04-19 15:48:04 India Standard Time,2021-04-19,15:48:04,+0530,3234739430,_ksolves,Ksolves India Ltd,,Have a look at the 3 types of #ArtificialIntelligence for better decision-making and smooth integration! 📧 sales@ksolves.com 📞 +91 8130704295 🌐  https://t.co/34RRw9FIVO  #artificialintelligencetechnology #artificialintelligencetypes #ai #ksolves #ksolvesindia #aiservices  https://t.co/087xBtigSK,en,[],['https://bit.ly/3tuVEDK'],['https://pbs.twimg.com/media/EzVEzW_UcAIirVl.jpg'],0,0,0,"['artificialintelligence', 'artificialintelligencetechnology', 'artificialintelligencetypes', 'ai', 'ksolves', 'ksolvesindia', 'aiservices']",[],https://twitter.com/_Ksolves/status/1384088903049568261,False,,1,https://pbs.twimg.com/media/EzVEzW_UcAIirVl.jpg,,,,,,,[],,,,
1384088889116168204,1384088889116168204,2021-04-19 15:48:00 India Standard Time,2021-04-19,15:48:00,+0530,884022229,harbrimah,Rimah Harb,,3 Ways Artificial Intelligence Is Changing Our World  https://t.co/nhI48yyleg #MachineLearning #DataScience #startup #Python #AI #IoT #flutter #javascript #Serverless #CyberSecurity #innovation #DDoS #DeepLearning #Digital #COVID19 #data #RPA #5G #tech #ArtificialIntelligence,en,[],['https://www.businessbecause.com/news/masters-in-management/7562/artificial-intelligence-changing-our-world?sponsored'],[],0,4,0,"['machinelearning', 'datascience', 'startup', 'python', 'ai', 'iot', 'flutter', 'javascript', 'serverless', 'cybersecurity', 'innovation', 'ddos', 'deeplearning', 'digital', 'covid19', 'data', 'rpa', '5g', 'tech', 'artificialintelligence']",[],https://twitter.com/HarbRimah/status/1384088889116168204,False,,0,,,,,,,,[],,,,
1384088737127165952,1384088737127165952,2021-04-19 15:47:24 India Standard Time,2021-04-19,15:47:24,+0530,1382261650724696066,nibabilathearmy,Babila Fonyuy,,My Core Competence 👨🏽‍🔧 Industrial Metrology Process Automation Industrial Maintenance Weight and Measures Calibration Volumetric and Flow Calibration  Power Generation #ArtificialIntelligence #construction #DataScience #engineer #Cameroon  https://t.co/EHddNc0gi1,en,[],[],['https://pbs.twimg.com/media/EzVFWuZUYAEcTOe.jpg'],0,0,1,"['artificialintelligence', 'construction', 'datascience', 'engineer', 'cameroon']",[],https://twitter.com/NiBabilathearmy/status/1384088737127165952,False,,1,https://pbs.twimg.com/media/EzVFWuZUYAEcTOe.jpg,,,,,,,[],,,,
1384088692550078468,1384088692550078468,2021-04-19 15:47:14 India Standard Time,2021-04-19,15:47:14,+0530,1133319467621081089,datastorage2,Data Storage,,Implying AI in Business to Evolve from Minimum to Million #ArtificialIntelligence via  https://t.co/mxp4KvycJy  https://t.co/Pv2hQFy7JR,en,[],"['http://twinybots.ch', 'https://www.analyticsinsight.net/implying-ai-in-business-to-evolve-from-minimum-to-million/']",[],0,0,0,['artificialintelligence'],[],https://twitter.com/DataStorage2/status/1384088692550078468,False,,0,,,,,,,,[],,,,
1384088669041033219,1384088669041033219,2021-04-19 15:47:08 India Standard Time,2021-04-19,15:47:08,+0530,1318083278646185985,techuncorked_,The TechUncorked Podcast,,"Sarah (@grattongirl) and Dean (@grattonboy) talk about #ArtificialIntelligence and how we plan to approach it in our new book, which is being published by @routledgebooks and will be out next year.  https://t.co/AAiuMufdSc   #ML #AI #Podcast @TechUncorked_  https://t.co/LXB87eg9jJ",en,"[{'screen_name': 'grattongirl', 'name': 'sarah-jayne gratton', 'id': '16615594'}, {'screen_name': 'grattonboy', 'name': 'dean anthony gratton', 'id': '36912323'}, {'screen_name': 'routledgebooks', 'name': 'routledge books', 'id': '67060449'}, {'screen_name': 'techuncorked_', 'name': 'the techuncorked podcast', 'id': '1318083278646185985'}]",['https://techuncorked.buzzsprout.com/1432915/8361016'],['https://pbs.twimg.com/media/EzVFQf5VIAA9KQU.jpg'],0,3,3,"['artificialintelligence', 'ml', 'ai', 'podcast']",[],https://twitter.com/TechUncorked_/status/1384088669041033219,False,,1,https://pbs.twimg.com/media/EzVFQf5VIAA9KQU.jpg,,,,,,,[],,,,
1384088659771551749,1384088659771551749,2021-04-19 15:47:06 India Standard Time,2021-04-19,15:47:06,+0530,136586525,airccfp,Aircccfp,,"10th International Conference on Soft Computing, Artificial Intelligence and Applications (SAI 2021)  https://t.co/5B99VZkroY",en,[],['https://cfptech.wordpress.com/2021/04/19/10th-international-conference-on-soft-computing-artificial-intelligence-and-applications-sai-2021-16/'],[],0,1,0,[],[],https://twitter.com/AIRCCFP/status/1384088659771551749,False,,0,,,,,,,,[],,,,
1384088477667495939,1384088477667495939,2021-04-19 15:46:22 India Standard Time,2021-04-19,15:46:22,+0530,1021322525287026688,machinelearntec,Machine Learning,,Facebook Deepfake Ban Policy: Benefits And Loopholes  https://t.co/ztw2tQt3Ek Via  @automeme  #AI #ArtificialIntelligence #Facebook #Deepfake #tech #Policy #socialMedia #Ethics  @vishne0  @joana_ut   @jblefevre60   @m_learningnews   Read More &gt;&gt;,en,"[{'screen_name': 'automeme', 'name': 'automeme', 'id': '1019916306160799745'}, {'screen_name': 'vishne0', 'name': 'vishal sharma', 'id': '443557785'}, {'screen_name': 'joana_ut', 'name': 'joana utrera', 'id': '843280014'}, {'screen_name': 'jblefevre60', 'name': 'jean-baptiste lefevre', 'id': '4374719908'}, {'screen_name': 'm_learningnews', 'name': 'machine learning', 'id': '2585917969'}]",['https://autome.me/facebook-deepfake-ban-policy-benefits-and-loopholes/'],[],0,0,0,"['ai', 'artificialintelligence', 'facebook', 'deepfake', 'tech', 'policy', 'socialmedia', 'ethics']",[],https://twitter.com/machinelearnTec/status/1384088477667495939,False,,0,,,,,,,,[],,,,
1384088285966831624,1384088285966831624,2021-04-19 15:45:37 India Standard Time,2021-04-19,15:45:37,+0530,1021322525287026688,machinelearntec,Machine Learning,,How Can Small Businesses Benefit from AI?  https://t.co/t4QAaZnYdQ   @johnnosta  @terence_mills  @maria_axente  @irmaraste  @terence_mills  @Stevewal63  @ML_today  #SmallBusiness #SmallBiz #ArtificialIntelligence #DigitalMarketing #RemoteWork #B2B #B2C #AI #Marketing,en,"[{'screen_name': 'johnnosta', 'name': 'john nosta', 'id': '19711691'}, {'screen_name': 'terence_mills', 'name': 'terence mills 特伦斯米尔斯', 'id': '722592726'}, {'screen_name': 'maria_axente', 'name': 'maria luciana axente', 'id': '16556796'}, {'screen_name': 'irmaraste', 'name': '\U0001f7e3 irma raste✨ influence through storytelling ™', 'id': '20163762'}, {'screen_name': 'terence_mills', 'name': 'terence mills 特伦斯米尔斯', 'id': '722592726'}, {'screen_name': 'stevewal63', 'name': 'steve waldron 💙', 'id': '175433916'}, {'screen_name': 'ml_today', 'name': 'machinelearningtoday', 'id': '880407847690829824'}]",['https://news.northeastern.edu/2021/04/15/how-can-small-businesses-benefit-from-artificial-intelligence/'],[],0,2,0,"['smallbusiness', 'smallbiz', 'artificialintelligence', 'digitalmarketing', 'remotework', 'b2b', 'b2c', 'ai', 'marketing']",[],https://twitter.com/machinelearnTec/status/1384088285966831624,False,,0,,,,,,,,[],,,,
1384088250243944455,1384087613221478401,2021-04-19 15:45:28 India Standard Time,2021-04-19,15:45:28,+0530,1365961470429835265,danield73126754,Daniel day-Lewis,,"@BitcoinKafe 🎁 24% of companies expect to invest between 5 and 10 million USD in blockchain during 2021. Not in cryptocurrency, but blockchain. @Libonomy, the world’s fastest blockchain will be one of the beneficiaries. 💰  #artificialintelligence #machincelearning #Libonomy #blockchain",en,"[{'screen_name': 'libonomy', 'name': 'libonomy', 'id': '1261556561702531075'}]",[],[],0,0,0,"['artificialintelligence', 'machincelearning', 'libonomy', 'blockchain']",[],https://twitter.com/Danield73126754/status/1384088250243944455,False,,0,,,,,,,,"[{'screen_name': 'BitcoinKafe', 'name': 'Kripto Para Forum', 'id': '1353761464977416194'}]",,,,
1384088214063882241,1384088214063882241,2021-04-19 15:45:20 India Standard Time,2021-04-19,15:45:20,+0530,215938935,rosmiman,ROSMIMAN® #WeNeverStopInnovating,,#NoticiasdeNuestrosClientes   #MachineLearning #AI #ArtificialIntelligence #SmartPorts,und,[],[],[],0,0,0,"['noticiasdenuestrosclientes', 'machinelearning', 'ai', 'artificialintelligence', 'smartports']",[],https://twitter.com/Rosmiman/status/1384088214063882241,False,https://twitter.com/portofbarcelona/status/1384031509821198336,0,,,,,,,,[],,,,
1384088204920246281,1384088204920246281,2021-04-19 15:45:17 India Standard Time,2021-04-19,15:45:17,+0530,49534652,sajidmirza,Sajid Mirza,,Implying AI in Business to Evolve from Minimum to Million #ArtificialIntelligence via  https://t.co/bDTgBUrl56  https://t.co/r7EcNlTClX,en,[],"['http://twinybots.ch', 'https://www.analyticsinsight.net/implying-ai-in-business-to-evolve-from-minimum-to-million/']",[],0,0,0,['artificialintelligence'],[],https://twitter.com/sajidmirza/status/1384088204920246281,False,,0,,,,,,,,[],,,,
1384088203766894594,1384088203766894594,2021-04-19 15:45:17 India Standard Time,2021-04-19,15:45:17,+0530,776724971502444544,pawansomanchi,Pawan,,Where is debt collection heading in India? Towards less muscle and more AI #ArtificialIntelligence via  https://t.co/cBj7YRO2k1  https://t.co/fae9szWnxL,en,[],"['http://twinybots.ch', 'https://www.livemint.com/news/india/where-is-debt-collection-heading-in-india-towards-less-muscle-and-more-artificial-intelligence-11618789552929.html']",[],0,1,0,['artificialintelligence'],[],https://twitter.com/PawanSomanchi/status/1384088203766894594,False,,0,,,,,,,,[],,,,
1384088202625966080,1384088202625966080,2021-04-19 15:45:17 India Standard Time,2021-04-19,15:45:17,+0530,278769230,ramcorbin,Ram Corbin,,How to Drive your Data Science and AI Projects in Post-Pandemic Era? #ArtificialIntelligence via  https://t.co/a1ZnCCEU0x  https://t.co/1BmZSYW2SZ,en,[],"['http://twinybots.ch', 'https://www.analyticsinsight.net/how-to-drive-your-data-science-and-ai-projects-in-post-pandemic-era/']",[],0,1,0,['artificialintelligence'],[],https://twitter.com/Ramcorbin/status/1384088202625966080,False,,0,,,,,,,,[],,,,
1384088198884642833,1384088198884642833,2021-04-19 15:45:16 India Standard Time,2021-04-19,15:45:16,+0530,118395559,tommyhauer,What is Onpassive?,,#tommyHauer (Suzanne and Sharon Interview with UK LEADER ...) - #bigdata #onpassivefounderregistration #socialbookmarking #socialinnovation #Advertising #AI #ArtificialIntelligence #Artificialintelligence  https://t.co/a7FJu7TZRr @PaulSamuelson13  #onpassive member of #gofounders  https://t.co/N4iktgRk4a,en,"[{'screen_name': 'paulsamuelson13', 'name': 'paul samuelson', 'id': '2568625724'}]",['https://tommyhauer.nl/suzanne-and-sharon-interview-with-uk-leader-red-redfern/'],['https://pbs.twimg.com/media/EzVE4bRUUAM31Lb.jpg'],0,0,0,"['tommyhauer', 'bigdata', 'onpassivefounderregistration', 'socialbookmarking', 'socialinnovation', 'advertising', 'ai', 'artificialintelligence', 'artificialintelligence', 'onpassive', 'gofounders']",[],https://twitter.com/tommyhauer/status/1384088198884642833,False,,1,https://pbs.twimg.com/media/EzVE4bRUUAM31Lb.jpg,,,,,,,[],,,,
1384088182887575553,1384088182887575553,2021-04-19 15:45:12 India Standard Time,2021-04-19,15:45:12,+0530,1021322525287026688,machinelearntec,Machine Learning,,"Ping An's AskBob Doctor Top-ranked in Global Artificial Intelligence Competition, Supporting Research, Diagnoses and Treatment Decisions - PRNewswire   https://t.co/dQKVrvQc5K  #ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigD…",en,[],['https://ift.tt/2RN5e6X'],[],0,4,2,"['artificialintelligence', 'ai', 'datascience', '100daysofcode', 'python', 'machinelearning', 'bigd']",[],https://twitter.com/machinelearnTec/status/1384088182887575553,False,,0,,,,,,,,[],,,,
1384088180106752000,1384088180106752000,2021-04-19 15:45:11 India Standard Time,2021-04-19,15:45:11,+0530,1098900320275652608,firmforum,Small_Firm_Forum,,AI Transformation Toward the Future of Health #Transformation #artificialintelligence #health via  https://t.co/q8WLVQmjC3  https://t.co/HRhz0VLDDD,en,[],"['http://twinybots.ch', 'https://www2.deloitte.com/us/en/events/industries-dbriefs-webcasts/2021/ai-future-health.html']",[],0,0,0,"['transformation', 'artificialintelligence', 'health']",[],https://twitter.com/FirmForum/status/1384088180106752000,False,,0,,,,,,,,[],,,,
1384088087890829321,1384088087890829321,2021-04-19 15:44:49 India Standard Time,2021-04-19,15:44:49,+0530,1021322525287026688,machinelearntec,Machine Learning,,3 Ways Artificial Intelligence Is Changing Our World - BusinessBecause   https://t.co/QUayPeWLNo  #ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT,en,[],['https://ift.tt/3egPWP9'],[],0,5,3,"['artificialintelligence', 'ai', 'datascience', '100daysofcode', 'python', 'machinelearning', 'bigdata', 'deeplearning', 'nlp', 'robots', 'iot']",[],https://twitter.com/machinelearnTec/status/1384088087890829321,False,,0,,,,,,,,[],,,,
1384088039249510405,1383935709598285824,2021-04-19 15:44:38 India Standard Time,2021-04-19,15:44:38,+0530,994128718527451136,marmor40d,Marleen Dingenouts,,@Ms919181 Already happening and future prospect? recommendable to watch: a (complete insane imo) scientist explains:  DNA FREQUENCY BIOWEAPON LINKS TARGETED INDIVIDUALS TO ARTIFICIAL INTELLIGENCE.    https://t.co/FFONouuIc6,en,[],['https://youtu.be/iEgZQgP9SMs'],[],0,2,0,[],[],https://twitter.com/marmor40d/status/1384088039249510405,False,,0,,,,,,,,"[{'screen_name': 'Ms919181', 'name': '🕊🖤', 'id': '1248316628204498947'}]",,,,
1384088021293694980,1384088021293694980,2021-04-19 15:44:34 India Standard Time,2021-04-19,15:44:34,+0530,1383828248048529412,mockencounter,Encounter Mock,,"@kfc lovers from coast-to-coast to chat all things chicken with Colonel Sanders himself, including re-ordering their favorite KFC.  https://t.co/fMeBxBYIYq    #QSR #KFC #ArtificialIntelligence",en,[],['https://www.newswire.ca/news-releases/kfc-canada-re-creates-the-voice-of-colonel-sanders-using-aws-ai-technology-891465072.html'],[],0,0,0,"['qsr', 'kfc', 'artificialintelligence']",[],https://twitter.com/mockencounter/status/1384088021293694980,False,,0,,,,,,,,[],,,,
1384088011973922820,1384088011973922820,2021-04-19 15:44:31 India Standard Time,2021-04-19,15:44:31,+0530,884022229,harbrimah,Rimah Harb,,Check out AMOM an AI powered ETF  https://t.co/ORV3ufGJuN   #ETF #ETFs #ArtificialIntelligence #AI #DataScience #tech,en,[],['https://www.etftrends.com/smart-beta-channel/ai-powered-etf-look-no-further-than-amom/'],[],0,2,1,"['etf', 'etfs', 'artificialintelligence', 'ai', 'datascience', 'tech']",[],https://twitter.com/HarbRimah/status/1384088011973922820,False,,0,,,,,,,,[],,,,
1384087997755256833,1384087997755256833,2021-04-19 15:44:28 India Standard Time,2021-04-19,15:44:28,+0530,1339138552773406720,monacotv,Principauté de Monaco TV,,Start to promote your products and services on Principauté de Monaco TV and reach over 7 million potential customers. With our #Artificialintelligence you can reach 400% conversion.  &gt;&gt;  Inquiry:  https://t.co/DzncN9KTRb #advertising #shopping #tvchannel #marketing #MonteCarlo  https://t.co/u1sh9I71NU,en,[],['https://c4l.us/us023'],[],0,0,0,"['artificialintelligence', 'advertising', 'shopping', 'tvchannel', 'marketing', 'montecarlo']",[],https://twitter.com/MonacoTv/status/1384087997755256833,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1384087919657246724/pu/img/ijL1HkTx_EgCxcih.jpg,,,,,,,[],,,,
1384087988439711746,1384087988439711746,2021-04-19 15:44:26 India Standard Time,2021-04-19,15:44:26,+0530,1021322525287026688,machinelearntec,Machine Learning,,AI safety system offers autonomous vehicle drivers seven seconds warning #ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT   https://t.co/6bYT16u8ji,en,[],['https://www.intelligenttransport.com/transport-news/120436/ai-safety-system/'],[],0,7,4,"['artificialintelligence', 'ai', 'datascience', '100daysofcode', 'python', 'machinelearning', 'bigdata', 'deeplearning', 'nlp', 'robots', 'iot']",[],https://twitter.com/machinelearnTec/status/1384087988439711746,False,,0,,,,,,,,[],,,,
1384087917627252742,1384087917627252742,2021-04-19 15:44:09 India Standard Time,2021-04-19,15:44:09,+0530,714266588,shoppingworldtv,Shopping World TV,,Start to promote your products and services on Principauté de Monaco TV and reach over 7 million potential customers. With our #Artificialintelligence you can reach 400% conversion.  &gt;&gt;  Inquiry:  https://t.co/9BjKBxNbYx #advertising #shopping #tvchannel #marketing #MonteCarlo  https://t.co/0tlNyg5x3x,en,[],['https://c4l.us/us023'],[],0,0,0,"['artificialintelligence', 'advertising', 'shopping', 'tvchannel', 'marketing', 'montecarlo']",[],https://twitter.com/ShoppingWorldTV/status/1384087917627252742,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1384087838380101632/pu/img/nVWJ6X2injbL6VEV.jpg,,,,,,,[],,,,
1384087844008861705,1384087844008861705,2021-04-19 15:43:51 India Standard Time,2021-04-19,15:43:51,+0530,23361712,jduch,Jaume Duch,,This week:  📌COFOE: unveiling of online citizens' platform  📌@EP_Environment pushes for ambitious EU climate law in negotiations with Council  📌@EP_Legal quizzes @ThierryBreton on artificial intelligence legislation   Details⤵️  https://t.co/zjHBhFXoor,en,"[{'screen_name': 'ep_environment', 'name': 'envi committee press', 'id': '951333319'}, {'screen_name': 'ep_legal', 'name': 'juri committee press', 'id': '1225071811'}, {'screen_name': 'thierrybreton', 'name': 'thierry breton', 'id': '785411705916559360'}]",['https://bit.ly/2QcGIeQ'],[],0,5,1,[],[],https://twitter.com/jduch/status/1384087844008861705,False,,0,,,,,,,,[],,,,
1384087748265402374,1384087748265402374,2021-04-19 15:43:28 India Standard Time,2021-04-19,15:43:28,+0530,1021322525287026688,machinelearntec,Machine Learning,,#ArtificialIntelligence &amp; #Whiskey Making: The Perfect Blend?  @BernardMarr   via  @Forbes  #AI  @IanLJones98 @RitupaGhosh @RagusoSergio @Dahl_Consult @avrohomg @Nicochan33 @DeepLearn007@smaksked @AkwyZ @FrRonconi @ravidugh @sallyeaves @NevilleGaunt   https://t.co/S5qH8cLMtt...,en,"[{'screen_name': 'bernardmarr', 'name': 'bernard marr', 'id': '108286674'}, {'screen_name': 'forbes', 'name': 'forbes', 'id': '91478624'}, {'screen_name': 'ianljones98', 'name': 'ian jones', 'id': '55230288'}, {'screen_name': 'ritupaghosh', 'name': 'rituparna ghosh', 'id': '1177891054080544769'}, {'screen_name': 'ragusosergio', 'name': 'sergio_raguso 🌐', 'id': '1106610379323523076'}, {'screen_name': 'dahl_consult', 'name': '𝗖𝗮𝗿𝗺𝗲𝗻 𝗗𝗮𝗵𝗹 🔸', 'id': '1091996470402867201'}, {'screen_name': 'avrohomg', 'name': 'avrohom gottheil 🇺🇸', 'id': '87629909'}, {'screen_name': 'nicochan33', 'name': 'nicolas babin', 'id': '19284888'}, {'screen_name': 'akwyz', 'name': '\U0001f7e3 antonio vieira santos #hm21', 'id': '19485870'}, {'screen_name': 'frronconi', 'name': 'franco ronconi 🇮🇹', 'id': '1409726425'}, {'screen_name': 'ravidugh', 'name': 'ravi dugh', 'id': '1017816919980769280'}, {'screen_name': 'sallyeaves', 'name': 'dr. sally eaves', 'id': '3131243261'}, {'screen_name': 'nevillegaunt', 'name': 'neville gaunt 💡💡💡', 'id': '351408233'}]",['https://forbes.com/sites/bernardmarr/2021/04/16/artificial-intelligence-and-whisky-making-the-perfect-blend/?sh=44108320942b'],[],0,1,0,"['artificialintelligence', 'whiskey', 'ai']",[],https://twitter.com/machinelearnTec/status/1384087748265402374,False,,0,,,,,,,,[],,,,
1384087704858554368,1384087704858554368,2021-04-19 15:43:18 India Standard Time,2021-04-19,15:43:18,+0530,965302152800407553,successanalytix,SAX,,The Science of Success    https://t.co/5uYJg4vChY  #Microsoft #AI #textpredictions #Word #success  #ArtificialIntelligence #DeepLearning #DataScience #javascript #serverless #WomenInTech #python #Linux #Flutter #TensorFlow #PyTorch #IoT #FutureOfWork #av  https://t.co/xLM2Or96cD,en,[],"['http://successanalytics.blogspot.com', 'https://www.amazon.com/Jerry-Ramonyai/e/B08NPZKJ7J/ref=dp_byline_cont_ebooks_1']",[],0,9,1,"['microsoft', 'ai', 'textpredictions', 'word', 'success', 'artificialintelligence', 'deeplearning', 'datascience', 'javascript', 'serverless', 'womenintech', 'python', 'linux', 'flutter', 'tensorflow', 'pytorch', 'iot', 'futureofwork', 'av']",[],https://twitter.com/SuccessAnalytiX/status/1384087704858554368,False,,0,,,,,,,,[],,,,
1384087659836895234,1384087659836895234,2021-04-19 15:43:07 India Standard Time,2021-04-19,15:43:07,+0530,965302152800407553,successanalytix,SAX,,The Science of Success    https://t.co/5uYJg4vChY  #ArtificialIntelligence #MachineLearning #Python  #AI #DeepLearning #BigData  #DataMining #Algorithms #javascript #java #linux #serverless #Rstats #womenwhocode #ComputerVision #PredictiveAnalytics #av  https://t.co/xLM2Or96cD,en,[],"['http://successanalytics.blogspot.com', 'https://www.amazon.com/Jerry-Ramonyai/e/B08NPZKJ7J/ref=dp_byline_cont_ebooks_1']",[],0,4,1,"['artificialintelligence', 'machinelearning', 'python', 'ai', 'deeplearning', 'bigdata', 'datamining', 'algorithms', 'javascript', 'java', 'linux', 'serverless', 'rstats', 'womenwhocode', 'computervision', 'predictiveanalytics', 'av']",[],https://twitter.com/SuccessAnalytiX/status/1384087659836895234,False,,0,,,,,,,,[],,,,
1384087597702516736,1384087597702516736,2021-04-19 15:42:53 India Standard Time,2021-04-19,15:42:53,+0530,472650465,otcdynamics,"OTC Dynamics, Inc.",,"$RDNT RadNet’s Artificial Intelligence Subsidiary, DeepHealth, Announces FDA Clearance for its AI Mammography Triage Software  https://t.co/DCGIDOkQBu",en,[],['https://www.otcdynamics.com/rdnt-radnets-artificial-intelligence-subsidiary-deephealth-announces-fda-clearance-for-its-ai-mammography-triage-software/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter'],[],0,2,0,[],['rdnt'],https://twitter.com/otcdynamics/status/1384087597702516736,False,,0,,,,,,,,[],,,,
1384087570166915081,1384087570166915081,2021-04-19 15:42:46 India Standard Time,2021-04-19,15:42:46,+0530,965302152800407553,successanalytix,SAX,,The Science of Success    https://t.co/5uYJg4vChY  #diversity #experience #tech  #ArtificialIntelligence  #hackathon   @UNESCO #Sustainability  #AI #edutwitter #stem #GirlsWhoCode #CodeNewbie #Python #womenintech #education #SDGs #AnalytiX #techforgood #av  https://t.co/xLM2Or96cD,en,"[{'screen_name': 'unesco', 'name': 'unesco 🏛️ #education #sciences #culture 🇺🇳😷', 'id': '20646711'}]","['http://successanalytics.blogspot.com', 'https://www.amazon.com/Jerry-Ramonyai/e/B08NPZKJ7J/ref=dp_byline_cont_ebooks_1']",[],0,5,1,"['diversity', 'experience', 'tech', 'artificialintelligence', 'hackathon', 'sustainability', 'ai', 'edutwitter', 'stem', 'girlswhocode', 'codenewbie', 'python', 'womenintech', 'education', 'sdgs', 'analytix', 'techforgood', 'av']",[],https://twitter.com/SuccessAnalytiX/status/1384087570166915081,False,,0,,,,,,,,[],,,,
1384087448834121732,1384087448834121732,2021-04-19 15:42:17 India Standard Time,2021-04-19,15:42:17,+0530,967337969945382912,rasa_bocyte,Rasa Bočytė,,Tomorrow I'll be talking at the monthly @ai4lam community call about the @ReTV_EU project and using #artificialintelligence in #GLAMs to increase #access to #audiovisual collections  https://t.co/Jd0VimAjbw,en,"[{'screen_name': 'ai4lam', 'name': 'ai4lam', 'id': '1382001002426073089'}, {'screen_name': 'retv_eu', 'name': 'retv project', 'id': '929284876146266112'}]",['https://sites.google.com/view/ai4lam'],[],0,0,0,"['artificialintelligence', 'glams', 'access', 'audiovisual']",[],https://twitter.com/rasa_bocyte/status/1384087448834121732,False,,0,,,,,,,,[],,,,
1384087419100663809,1384087419100663809,2021-04-19 15:42:10 India Standard Time,2021-04-19,15:42:10,+0530,1021322525287026688,machinelearntec,Machine Learning,,Patent Considerations for Optimizing Immunotherapies with the Help of Artificial Intelligence - Lexology   https://t.co/67GIgEFQCe  #ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT,en,[],['https://ift.tt/3n06fUB'],[],0,8,4,"['artificialintelligence', 'ai', 'datascience', '100daysofcode', 'python', 'machinelearning', 'bigdata', 'deeplearning', 'nlp', 'robots', 'iot']",[],https://twitter.com/machinelearnTec/status/1384087419100663809,False,,0,,,,,,,,[],,,,
